code;class;message;source
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: SEM_E_INVALID_SLOT_RANGE: unknown thread target: unknownworker;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: assignment cannot convert TYPE_I32 to TYPE_PTR;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: assignment cannot convert TYPE_STRING to TYPE_I32;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: assignment requires explicit cast TYPE_F64 to TYPE_OBJECT;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: assignment requires explicit cast TYPE_OBJECT to TYPE_BALL;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: assignment requires explicit cast TYPE_OBJECT to TYPE_BIGD;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: assignment requires explicit cast TYPE_OBJECT to TYPE_BIGFLOAT;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: assignment requires explicit cast TYPE_OBJECT to TYPE_BIGINT;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: BIGINIT unknown kind NOPE;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: missing child;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: numeric operands required;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: unknown symbol: a$;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: unknown symbol: missingfield;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: unknown symbol: nested_value;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: unknown symbol: notdeclaredvariable;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: unknown symbol: RND;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: unknown symbol: s;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: unknown symbol: s$;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: unknown symbol: true;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: unknown symbol: unknownvalue;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: unknown symbol: value;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: unknown symbol: wend;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: unknown symbol: worker;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: unknown symbol: yaz;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: unknown type 'BALL(256)';C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: unknown type 'BIGD(80)';C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: unknown type 'BIGF(128)';C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: type: unknown type 'BIGF(256)';C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;BEGIN|LEXER|tests/adim13/negative/adim13_x86_unsupported.bas;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\layer_events.log
;;BEGIN|PARSER|tests/adim13/negative/adim13_x86_unsupported.bas;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\layer_events.log
;;BEGIN|SOURCE_LOAD|tests/adim13/negative/adim13_x86_unsupported.bas;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\layer_events.log
