keyword,token,category,lexer,parser,ast,semantic,hir,mir,interpreter_ast,interpreter_mir,x64_codegen_ast,x64_codegen_mir,x86_codegen,runtime,ffi,tests,docs
SLOT,,unknown,partial,implemented,missing,implemented,missing,diagnostic_only,partial,diagnostic_only,diagnostic_only,diagnostic_only,missing,partial,missing,implemented,partial
SPACE,,unknown,partial,partial,missing,partial,missing,missing,partial,missing,diagnostic_only,missing,missing,partial,partial,implemented,missing
SQR,,unknown,partial,partial,missing,partial,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,missing
SQRT,,unknown,partial,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,partial,missing
STATIC,,unknown,partial,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,diagnostic_only,missing,missing,missing,missing,diagnostic_only,partial,implemented,diagnostic_only
STDCALL,,unknown,partial,implemented,missing,partial,missing,partial,partial,diagnostic_only,diagnostic_only,missing,partial,partial,implemented,implemented,missing
STEP,,unknown,implemented,partial,implemented,implemented,partial,diagnostic_only,partial,missing,diagnostic_only,missing,partial,implemented,implemented,partial,missing
STR,,unknown,implemented,implemented,implemented,implemented,missing,diagnostic_only,implemented,diagnostic_only,implemented,missing,partial,implemented,implemented,implemented,missing
STRING,,unknown,implemented,implemented,implemented,implemented,partial,partial,implemented,diagnostic_only,implemented,diagnostic_only,implemented,implemented,implemented,implemented,missing
STRPTR,,unknown,partial,implemented,missing,diagnostic_only,missing,missing,partial,diagnostic_only,missing,missing,missing,partial,missing,implemented,missing
SUB,,unknown,implemented,implemented,implemented,implemented,partial,partial,implemented,diagnostic_only,implemented,diagnostic_only,partial,implemented,implemented,implemented,diagnostic_only
TAN,,unknown,partial,partial,missing,partial,missing,diagnostic_only,diagnostic_only,missing,partial,missing,missing,diagnostic_only,missing,implemented,missing
THEN,,unknown,implemented,implemented,implemented,implemented,partial,diagnostic_only,implemented,diagnostic_only,implemented,diagnostic_only,implemented,implemented,implemented,implemented,diagnostic_only
THREAD,,unknown,partial,implemented,missing,implemented,missing,missing,partial,diagnostic_only,partial,diagnostic_only,missing,partial,missing,implemented,diagnostic_only
THREAT,,unknown,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
THROW,,unknown,partial,implemented,missing,implemented,missing,diagnostic_only,partial,missing,missing,diagnostic_only,missing,partial,missing,implemented,missing
TIMER,,unknown,partial,implemented,missing,partial,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,diagnostic_only,missing,implemented,missing,implemented,diagnostic_only
TO,,unknown,implemented,implemented,implemented,implemented,partial,partial,implemented,diagnostic_only,implemented,diagnostic_only,partial,implemented,implemented,implemented,diagnostic_only
TRIGGER,,unknown,partial,implemented,missing,partial,missing,missing,missing,missing,diagnostic_only,diagnostic_only,missing,missing,missing,implemented,missing
TRY,,unknown,partial,implemented,missing,partial,missing,missing,partial,missing,missing,diagnostic_only,missing,partial,missing,implemented,diagnostic_only
TYPE,,unknown,implemented,implemented,implemented,implemented,partial,partial,implemented,diagnostic_only,diagnostic_only,missing,partial,implemented,implemented,implemented,diagnostic_only
U16,,unknown,partial,implemented,missing,implemented,missing,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,missing,missing
U32,,unknown,partial,implemented,missing,implemented,missing,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,partial,missing
U64,,unknown,partial,implemented,missing,implemented,missing,missing,partial,diagnostic_only,diagnostic_only,missing,missing,partial,missing,implemented,missing
U8,,unknown,partial,implemented,missing,implemented,missing,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,missing
UCASE,,unknown,implemented,implemented,implemented,implemented,partial,diagnostic_only,implemented,diagnostic_only,partial,diagnostic_only,partial,implemented,implemented,implemented,missing
UNTIL,,unknown,partial,partial,missing,missing,missing,missing,diagnostic_only,missing,missing,missing,missing,diagnostic_only,missing,partial,missing
USING,,unknown,partial,implemented,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,implemented,missing
VAL,,unknown,partial,implemented,missing,implemented,missing,diagnostic_only,partial,diagnostic_only,partial,diagnostic_only,missing,partial,missing,implemented,diagnostic_only
VARPTR,,unknown,partial,implemented,missing,partial,missing,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,missing
VIRTUAL,,unknown,partial,diagnostic_only,missing,partial,missing,missing,diagnostic_only,missing,missing,missing,missing,partial,missing,implemented,missing
WHILE,,unknown,implemented,implemented,implemented,implemented,partial,diagnostic_only,implemented,diagnostic_only,implemented,missing,implemented,implemented,implemented,implemented,missing
XOR,,unknown,partial,partial,missing,implemented,missing,partial,diagnostic_only,diagnostic_only,implemented,diagnostic_only,missing,diagnostic_only,partial,implemented,diagnostic_only
