ast_node,surface_name,semantic_status,type_status,layout_status,lowering_handler,lowering_decision,mir_opcode_sequence,requires_runtime,requires_external,target_x64,target_js,target_wasm,verify_rule,status,required_action
EACH_ITEMS,EACH_ITEMS,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
ELSEIF_PART,ELSEIF_PART,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
ELSE_PART,ELSE_PART,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
END_STMT,END_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
EVENT_STMT,EVENT_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
EXIT_STMT,EXIT_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
EXPR_STMT,EXPR_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
FIELD_EXPR,FIELD_EXPR,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
FINALLY_PART,FINALLY_PART,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
FOR_EACH_STMT,FOR_EACH_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
FOR_STMT,FOR_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
FRIEND_ITEM,FRIEND_ITEM,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
FUNCTION_STMT,FUNCTION_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
GET_STMT,GET_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_RUNTIME_CALL,AUTO,YES,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
GOSUB_STMT,GOSUB_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
GOTO_STMT,GOTO_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
IDENT,IDENT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
IF_STMT,IF_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
IMPORT_STMT,IMPORT_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
INCDEC_EXPR,INCDEC_EXPR,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
INCDEC_STMT,INCDEC_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
INCLUDE_STMT,INCLUDE_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
INDEX_EXPR,INDEX_EXPR,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
INIT_EXPR,INIT_EXPR,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
INLINE_STMT,INLINE_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_NATIVE_ONLY,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
INPUTF_STMT,INPUTF_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_RUNTIME_CALL,AUTO,YES,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
INPUT_FILE_STMT,INPUT_FILE_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_RUNTIME_CALL,AUTO,YES,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
INPUT_STMT,INPUT_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
INTERFACE_METHOD_DECL,INTERFACE_METHOD_DECL,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_COMPILE_TIME_ONLY,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
INTERFACE_STMT,INTERFACE_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
KEYWORD_REF,KEYWORD_REF,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
LABEL_STMT,LABEL_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
LOCATE_STMT,LOCATE_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
MAIN_STMT,MAIN_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
MEMBER_EXPR,MEMBER_EXPR,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
MEMCOPYB_STMT,MEMCOPYB_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
MEMCOPYD_STMT,MEMCOPYD_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
MEMCOPYW_STMT,MEMCOPYW_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
MEMFILLB_STMT,MEMFILLB_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
MEMFILLD_STMT,MEMFILLD_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
MEMFILLW_STMT,MEMFILLW_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
MODE_REF,MODE_REF,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
MODULE_STMT,MODULE_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
NAMESPACE_STMT,NAMESPACE_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
NEW_EXPR,NEW_EXPR,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
NUMBER,NUMBER,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
OPEN_STMT,OPEN_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_RUNTIME_CALL,AUTO,YES,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
PARALEL_STMT,PARALEL_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
PARAM_DECL,PARAM_DECL,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_COMPILE_TIME_ONLY,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
