id,surface_name,layer,status
UXB-SURFACE-030,PARALEL,mir_json_status,MISSING
UXB-SURFACE-030,PARALEL,x64_mir_status,MISSING
UXB-SURFACE-030,PARALEL,x86_status,MISSING
UXB-SURFACE-030,PARALEL,library_binding_status,MISSING
UXB-SURFACE-030,PARALEL,vscode_evidence_status,MISSING
UXB-SURFACE-031,PARALLEL,parser_status,MISSING
UXB-SURFACE-031,PARALLEL,ast_contract_status,MISSING
UXB-SURFACE-031,PARALLEL,semantic_status,MISSING
UXB-SURFACE-031,PARALLEL,type_binding_status,MISSING
UXB-SURFACE-031,PARALLEL,layout_status,MISSING
UXB-SURFACE-031,PARALLEL,hir_status,MISSING
UXB-SURFACE-031,PARALLEL,mir_status,MISSING
UXB-SURFACE-031,PARALLEL,mir_verify_status,MISSING
UXB-SURFACE-031,PARALLEL,mir_json_status,MISSING
UXB-SURFACE-031,PARALLEL,ast_interpreter_status,MISSING
UXB-SURFACE-031,PARALLEL,mir_interpreter_status,MISSING
UXB-SURFACE-031,PARALLEL,x64_ast_status,MISSING
UXB-SURFACE-031,PARALLEL,x86_status,MISSING
UXB-SURFACE-031,PARALLEL,library_binding_status,MISSING
UXB-SURFACE-031,PARALLEL,vscode_evidence_status,MISSING
UXB-SURFACE-032,PIPE,ast_contract_status,MISSING
UXB-SURFACE-032,PIPE,type_binding_status,MISSING
UXB-SURFACE-032,PIPE,layout_status,MISSING
UXB-SURFACE-032,PIPE,mir_status,MISSING
UXB-SURFACE-032,PIPE,mir_verify_status,MISSING
UXB-SURFACE-032,PIPE,x64_mir_status,MISSING
UXB-SURFACE-032,PIPE,x86_status,MISSING
UXB-SURFACE-032,PIPE,library_binding_status,MISSING
UXB-SURFACE-033,RANDOMIZE,ast_contract_status,MISSING
UXB-SURFACE-033,RANDOMIZE,semantic_status,MISSING
UXB-SURFACE-033,RANDOMIZE,type_binding_status,MISSING
UXB-SURFACE-033,RANDOMIZE,layout_status,MISSING
UXB-SURFACE-033,RANDOMIZE,hir_status,MISSING
UXB-SURFACE-033,RANDOMIZE,mir_verify_status,MISSING
UXB-SURFACE-033,RANDOMIZE,mir_json_status,MISSING
UXB-SURFACE-033,RANDOMIZE,x86_status,MISSING
UXB-SURFACE-033,RANDOMIZE,library_binding_status,MISSING
UXB-SURFACE-033,RANDOMIZE,vscode_evidence_status,MISSING
UXB-SURFACE-034,RND,ast_contract_status,MISSING
UXB-SURFACE-034,RND,semantic_status,MISSING
UXB-SURFACE-034,RND,type_binding_status,MISSING
UXB-SURFACE-034,RND,layout_status,MISSING
UXB-SURFACE-034,RND,hir_status,MISSING
UXB-SURFACE-034,RND,mir_verify_status,MISSING
UXB-SURFACE-034,RND,mir_json_status,MISSING
UXB-SURFACE-034,RND,x64_mir_status,MISSING
UXB-SURFACE-034,RND,x86_status,MISSING
UXB-SURFACE-034,RND,library_binding_status,MISSING
UXB-SURFACE-034,RND,vscode_evidence_status,MISSING
UXB-SURFACE-035,RTRIM,ast_contract_status,MISSING
UXB-SURFACE-035,RTRIM,semantic_status,MISSING
UXB-SURFACE-035,RTRIM,type_binding_status,MISSING
UXB-SURFACE-035,RTRIM,layout_status,MISSING
UXB-SURFACE-035,RTRIM,hir_status,MISSING
UXB-SURFACE-035,RTRIM,mir_status,MISSING
