category,item,js_policy,wasm_policy,handler,reason,source_parser,source_mir,source_x64_mir,source_runtime,source_tests
builtin_functions,LE,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,diagnostic_only,partial,diagnostic_only,diagnostic_only,missing
builtin_functions,LEN,native_js_string,host_string_import,ux.string,string_builtin,implemented,diagnostic_only,diagnostic_only,implemented,implemented
builtin_functions,LISTADD,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,missing,diagnostic_only,implemented
builtin_functions,LISTCLEAR,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,missing,diagnostic_only,missing
builtin_functions,LISTGET,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,missing,diagnostic_only,implemented
builtin_functions,LISTLEN,js_runtime_structure,host_or_linear_memory,ux.collections,collection_builtin,missing,missing,missing,diagnostic_only,implemented
builtin_functions,LISTREMOVE,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,missing,diagnostic_only,missing
builtin_functions,LISTSET,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,missing,diagnostic_only,missing
builtin_functions,LNOT,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,partial,diagnostic_only,missing,diagnostic_only,missing
builtin_functions,LOADLIBRARYA,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,partial,missing,partial,implemented
builtin_functions,LOAD_ADDR,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,diagnostic_only,missing,missing
builtin_functions,LOAD_CONST,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,partial,diagnostic_only,diagnostic_only,missing
builtin_functions,LOAD_FIELD,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,diagnostic_only,missing,missing
builtin_functions,LOAD_INDEXED,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,partial,diagnostic_only,missing,missing
builtin_functions,LOAD_VAR,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,partial,diagnostic_only,diagnostic_only,missing
builtin_functions,LOCATE,browser_host,host_import,ux.console,console_builtin,implemented,diagnostic_only,diagnostic_only,implemented,implemented
builtin_functions,LOCATE_STMT,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,partial,diagnostic_only,missing,partial,diagnostic_only
builtin_functions,LOF,browser_file_host,host_import,ux.file,file_builtin,implemented,missing,missing,diagnostic_only,partial
builtin_functions,LOG,native_js_math,native_wasm_or_host,ux.math,math_builtin,implemented,diagnostic_only,missing,partial,implemented
builtin_functions,LPTR,host_runtime_dispatch,host_import_if_called,ux.callBuiltin,generic_implemented_surface,implemented,missing,missing,diagnostic_only,implemented
builtin_functions,LT,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,diagnostic_only,partial,diagnostic_only,diagnostic_only,missing
builtin_functions,LTRIM,native_js_string,host_string_import,ux.string,string_builtin,implemented,diagnostic_only,missing,implemented,implemented
builtin_functions,MEMCOPYB_STMT,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,partial,diagnostic_only,missing,diagnostic_only,diagnostic_only
builtin_functions,MEMCOPYD_STMT,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,partial,diagnostic_only,missing,diagnostic_only,diagnostic_only
builtin_functions,MEMCOPYW_STMT,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,partial,diagnostic_only,missing,diagnostic_only,diagnostic_only
builtin_functions,MEMFILLB_STMT,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,partial,diagnostic_only,missing,diagnostic_only,diagnostic_only
builtin_functions,MEMFILLD_STMT,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,partial,diagnostic_only,missing,diagnostic_only,diagnostic_only
builtin_functions,MEMFILLW_STMT,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,partial,diagnostic_only,missing,diagnostic_only,diagnostic_only
builtin_functions,METHOD_DECL,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,diagnostic_only,missing,missing
builtin_functions,MID,native_js_string,host_string_import,ux.string,string_builtin,implemented,diagnostic_only,missing,implemented,implemented
builtin_functions,MIN,host_runtime_dispatch,host_import_if_called,ux.callBuiltin,generic_implemented_surface,partial,missing,missing,implemented,partial
builtin_functions,MIREXECUTE,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,missing,diagnostic_only,missing
builtin_functions,MIRGENERATEFROMAST,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,missing,diagnostic_only,missing
builtin_functions,MIRX64ALIGN16,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,diagnostic_only,missing,missing
builtin_functions,MIRX64ARRAYLABEL,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,missing,missing,missing
builtin_functions,MIRX64COLLECTLOCALS,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,diagnostic_only,missing,missing
